entreprise,localite,telephone,email,categorie,signal_alerte,source_url,requete
LIDL (LIDL),Chatenay-Malabry,,,Grand compte (GE) — cible transformation digitale,"Grand compte (commerce / distribution, 10 000 salariés et plus) : budgets de transformation digitale conséquents, cible pour prestation web/SaaS via la DSI ou appels d'offres. Point d'entrée dirigeant : Bruno Caillet. ⚠ Cycle de vente long (multi-décideurs).",https://annuaire-entreprises.data.gouv.fr/entreprise/343262622,api-entreprises:GE:commerce / distribution
SOCIETE GENERALE (SG),Paris,,,Grand compte (GE) — cible transformation digitale,"Grand compte (banque / assurance, 10 000 salariés et plus) : budgets de transformation digitale conséquents, cible pour prestation web/SaaS via la DSI ou appels d'offres. Point d'entrée dirigeant : Laura Barlow. ⚠ Cycle de vente long (multi-décideurs).",https://annuaire-entreprises.data.gouv.fr/entreprise/552120222,api-entreprises:GE:banque / assurance
BOULANGERIES BG (B B G),Chateaurenard,,,Grand compte (GE) — cible transformation digitale,"Grand compte (industrie manufacturière, 5 000 à 9 999 salariés) : budgets de transformation digitale conséquents, cible pour prestation web/SaaS via la DSI ou appels d'offres. Point d'entrée dirigeant : Bernard Blachere (Blachere). ⚠ Cycle de vente long (multi-décideurs).",https://annuaire-entreprises.data.gouv.fr/entreprise/478455793,api-entreprises:GE:industrie manufacturière
LA POSTE,Paris,,,Grand compte (GE) — cible transformation digitale,"Grand compte (transport / logistique, 10 000 salariés et plus) : budgets de transformation digitale conséquents, cible pour prestation web/SaaS via la DSI ou appels d'offres. Point d'entrée dirigeant : Irene Baudry. ⚠ Cycle de vente long (multi-décideurs).",https://annuaire-entreprises.data.gouv.fr/entreprise/356000000,api-entreprises:GE:transport / logistique
ELIOR RESTAURATION FRANCE (ELIOR RESTAURATION ENSEIGNEMENT - ELIOR RESTAURATION SANTE),Creteil,,,Grand compte (GE) — cible transformation digitale,"Grand compte (hôtellerie / restauration, 10 000 salariés et plus) : budgets de transformation digitale conséquents, cible pour prestation web/SaaS via la DSI ou appels d'offres. Point d'entrée dirigeant : Boris Derichebourg. ⚠ Cycle de vente long (multi-décideurs).",https://annuaire-entreprises.data.gouv.fr/entreprise/662025196,api-entreprises:GE:hôtellerie / restauration
MCDONALD'S FRANCE,Guyancourt,,,Grand compte (GE) — cible transformation digitale,"Grand compte (immobilier, grand effectif) : budgets de transformation digitale conséquents, cible pour prestation web/SaaS via la DSI ou appels d'offres. Point d'entrée dirigeant : Jo Sempels. ⚠ Cycle de vente long (multi-décideurs).",https://annuaire-entreprises.data.gouv.fr/entreprise/722003936,api-entreprises:GE:immobilier
CROIX ROUGE FRANCAISE (CRF),Paris,,,Grand compte (GE) — cible transformation digitale,"Grand compte (santé / médico-social, 10 000 salariés et plus) : budgets de transformation digitale conséquents, cible pour prestation web/SaaS via la DSI ou appels d'offres. ⚠ Cycle de vente long (multi-décideurs).",https://annuaire-entreprises.data.gouv.fr/entreprise/775672272,api-entreprises:GE:santé / médico-social
CARREFOUR PROXIMITE FRANCE,Mondeville,,,Grand compte (GE) — cible transformation digitale,"Grand compte (services aux entreprises, 500 à 999 salariés) : budgets de transformation digitale conséquents, cible pour prestation web/SaaS via la DSI ou appels d'offres. Point d'entrée dirigeant : Benoit Soury. ⚠ Cycle de vente long (multi-décideurs).",https://annuaire-entreprises.data.gouv.fr/entreprise/345130488,api-entreprises:GE:services aux entreprises
PICARD SURGELES,Fontainebleau,,,Grand compte (GE) — cible transformation digitale,"Grand compte (commerce / distribution, 5 000 à 9 999 salariés) : budgets de transformation digitale conséquents, cible pour prestation web/SaaS via la DSI ou appels d'offres. Point d'entrée dirigeant : Cecile Guillou. ⚠ Cycle de vente long (multi-décideurs).",https://annuaire-entreprises.data.gouv.fr/entreprise/784939688,api-entreprises:GE:commerce / distribution
BNP PARIBAS (HELLO BANK!),Paris,,,Grand compte (GE) — cible transformation digitale,"Grand compte (banque / assurance, 10 000 salariés et plus) : budgets de transformation digitale conséquents, cible pour prestation web/SaaS via la DSI ou appels d'offres. Point d'entrée dirigeant : Jacques Aschenbroich. ⚠ Cycle de vente long (multi-décideurs).",https://annuaire-entreprises.data.gouv.fr/entreprise/662042449,api-entreprises:GE:banque / assurance
LAFARGE BETONS,Issy-Les-Moulineaux,,,Grand compte (GE) — cible transformation digitale,"Grand compte (industrie manufacturière, 1 000 à 1 999 salariés) : budgets de transformation digitale conséquents, cible pour prestation web/SaaS via la DSI ou appels d'offres. Point d'entrée dirigeant : Guillaume Andre. ⚠ Cycle de vente long (multi-décideurs).",https://annuaire-entreprises.data.gouv.fr/entreprise/414815043,api-entreprises:GE:industrie manufacturière
SNCF RESEAU,Saint-Denis,,,Grand compte (GE) — cible transformation digitale,"Grand compte (transport / logistique, 10 000 salariés et plus) : budgets de transformation digitale conséquents, cible pour prestation web/SaaS via la DSI ou appels d'offres. Point d'entrée dirigeant : Marie-Christine Aulagnon (Badouard). ⚠ Cycle de vente long (multi-décideurs).",https://annuaire-entreprises.data.gouv.fr/entreprise/412280737,api-entreprises:GE:transport / logistique
COMPASS GROUP FRANCE,Malakoff,,,Grand compte (GE) — cible transformation digitale,"Grand compte (hôtellerie / restauration, 10 000 salariés et plus) : budgets de transformation digitale conséquents, cible pour prestation web/SaaS via la DSI ou appels d'offres. Point d'entrée dirigeant : Gino Balderacchi. ⚠ Cycle de vente long (multi-décideurs).",https://annuaire-entreprises.data.gouv.fr/entreprise/632041042,api-entreprises:GE:hôtellerie / restauration
FONCIA TRANSACTION FRANCE,Courbevoie,,,Grand compte (GE) — cible transformation digitale,"Grand compte (immobilier, 1 000 à 1 999 salariés) : budgets de transformation digitale conséquents, cible pour prestation web/SaaS via la DSI ou appels d'offres. Point d'entrée dirigeant : Jordane Frarier. ⚠ Cycle de vente long (multi-décideurs).",https://annuaire-entreprises.data.gouv.fr/entreprise/503698664,api-entreprises:GE:immobilier
APF FRANCE HANDICAP (APF),Paris,,,Grand compte (GE) — cible transformation digitale,"Grand compte (santé / médico-social, 10 000 salariés et plus) : budgets de transformation digitale conséquents, cible pour prestation web/SaaS via la DSI ou appels d'offres. ⚠ Cycle de vente long (multi-décideurs).",https://annuaire-entreprises.data.gouv.fr/entreprise/775688732,api-entreprises:GE:santé / médico-social
"ADECCO FRANCE (ADECCO FRANCE, LHH RECRUITMENT SOLUTIONS, AKKODIS TALENT, QAPA)",Villeurbanne,,,Grand compte (GE) — cible transformation digitale,"Grand compte (services aux entreprises, 2 000 à 4 999 salariés) : budgets de transformation digitale conséquents, cible pour prestation web/SaaS via la DSI ou appels d'offres. Point d'entrée dirigeant : Gerald Jasmin. ⚠ Cycle de vente long (multi-décideurs).",https://annuaire-entreprises.data.gouv.fr/entreprise/998823504,api-entreprises:GE:services aux entreprises
ACTION FRANCE,Paris,,,Grand compte (GE) — cible transformation digitale,"Grand compte (commerce / distribution, 10 000 salariés et plus) : budgets de transformation digitale conséquents, cible pour prestation web/SaaS via la DSI ou appels d'offres. Point d'entrée dirigeant : Wouter De Backer. ⚠ Cycle de vente long (multi-décideurs).",https://annuaire-entreprises.data.gouv.fr/entreprise/753308238,api-entreprises:GE:commerce / distribution
CREDIT LYONNAIS (LCL),Lyon,,,Grand compte (GE) — cible transformation digitale,"Grand compte (banque / assurance, 10 000 salariés et plus) : budgets de transformation digitale conséquents, cible pour prestation web/SaaS via la DSI ou appels d'offres. Point d'entrée dirigeant : Franck Alexandre. ⚠ Cycle de vente long (multi-décideurs).",https://annuaire-entreprises.data.gouv.fr/entreprise/954509741,api-entreprises:GE:banque / assurance
TOTALENERGIES CHARGING SERVICES,Puteaux,,,Grand compte (GE) — cible transformation digitale,"Grand compte (industrie manufacturière, grand effectif) : budgets de transformation digitale conséquents, cible pour prestation web/SaaS via la DSI ou appels d'offres. Point d'entrée dirigeant : Marin Baron De Montbel. ⚠ Cycle de vente long (multi-décideurs).",https://annuaire-entreprises.data.gouv.fr/entreprise/844192443,api-entreprises:GE:industrie manufacturière
